"","Date","Time","Location","Operator","Type","Aboard","Fatalities","Ground","Summary","death_ratio"
"94",1925-07-24,"","Budapest, Hungary","CIDNA","Potez IX",1,1,0,"",1
"95",1925-09-03,"5:30","Caldwell, Ohio","Military - U.S. Navy","Dirigible ZR-1 Shenandoah (airship)",43,14,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmosphericonditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",0.325581395348837
"96",1925-09-07,"","Toul, France","CIDNA","",3,3,0,"",1
"97",1925-11-14,"","Off Boulogne-sur-Mer, France","Air Union","Farman F-60 Goliath",2,2,0,"",1
"98",1926-02-12,"","Montpelier, Ohio","US Aerial Mail Service","Curtiss Carrier Pigeon",1,1,0,"",1
"99",1926-03-08,"","Staaken, Germany","Deutche Lufthansa","Junkers F-13",1,1,0,"",1
"100",1926-05-31,"","English Channel","Air Union","Breguet 14",1,1,0,"",1
"101",1926-07-03,"","Rossaugpt, Czechoslovakia","Compagnie Internationale de Navigation Aթrienne","Caudron C-61",7,7,0,"Crashed while en route.",1
"102",1926-07-09,"","Wolvertem, Belgium","KLM Royal Dutch Airlines","Fokker F-4",2,2,0,"",1
"103",1926-07-24,"","Juist, Germany","Deutsche Lufthansa","Junkers F-13",4,4,0,"Weather related.",1
"104",1926-08-18,"","Hurst, Kent, England","Air Union","Bleriot 155",4,4,0,"Crashed in adverse weather conditions.  Engine failure.",1
"105",1926-09-26,"","New York, New York","","Sikorsky S-25",5,2,0,"Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantipassenger flight.",0.4
"106",1926-10-08,"","Bueren, Germany","Deutsche Lufthansa","Fokker FG III",4,4,0,"Weather related.",1
"107",1926-10-21,"13:15","English Channel","Imperial Airways","Handley Page W-10",12,0,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry.",0
"108",1926-11-11,"","Cape Bojador, Morocco","Grands Express Aeriens","Breguet 14",3,3,0,"",1
"109",1926-12-16,"","Medford, Oregon","PacifiAir Transport","Ryan M-1",1,1,0,"",1
"110",1927-01-12,"","Lille, France","KLM Royal Dutch Airlines","Fokker F-VII",2,2,0,"",1
"111",1927-03-20,"","Rabat, Morocco","Grands Express Aeriens","Breguet 14",1,1,0,"",1
"112",1927-03-24,"","Tambo, Qld, Australia","Qantas","de Havilland DH-9C",3,3,0,"Stalled at low altitiude on approach to land",1
"113",1927-04-15,"","King Hill, Idaho","Varney Air Lines","",1,1,0,"Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.",1
"114",1927-04-22,"","Goshen, Indiana","US Aerial Mail Service","Douglas M-4",1,1,0,"",1
"115",1927-04-22,"","Floh, Germany","Deutsche Lufthansa","Fokker FG III",2,2,0,"Engine failure.",1
"116",1927-05-02,"","Algiers, Algeria","Air Union","SPCA Meteore 63",3,1,0,"",0.333333333333333
"117",1927-07-27,"","Amoneburg, Germany","Deutsche Lufthansa","Junkers F-13",5,5,0,"Engine failure.",1
"118",1927-08-22,"8:30","Sevenoaks, England","KLM Royal Dutch Airlines","Fokker F-VIII",11,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",0.0909090909090909
"119",1927-09-03,"","Willington, Connecticut","Colonial Air Transport","Fokker Universal",1,1,0,"",1
"120",1927-09-17,"","Hadley, New Jersey","Reynolds Airways","Fokker F-VII",12,7,0,"The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.",0.583333333333333
"121",1927-09-22,"","Saale, Germany","Deutsche Lufthansa","BFW M-18",4,2,0,"Engine failure.",0.5
"122",1927-09-23,"10:00","Schleiz, Germany","Deutsche Lufthansa","Dornier Merkur",6,6,0,"Broken wing strut.",1
"123",1927-10-06,"","Thies, Mauritania","Lignes Aeriennes Latecoere","Breguet 14",2,2,0,"",1
"124",1927-10-30,"","New Brunswick, New Jersey","Colonial Air Transport","Fairchild FC-2",4,4,0,"Went into a tailspin and crashed into a corn field",1
"125",1927-11-16,"","Strasburg, France","CIDNA","Farman F-121 Jabiru",1,1,0,"",1
"126",1927-11-16,"","Over the Gulf of Finland","Aero O-Y","Junkers F-13",6,6,0,"",1
"127",1927-11-29,"","Corunna, Indiana","National Air Transport","Douglas M-4",1,1,0,"",1
"128",1927-12-26,"","Almeria, Spain","Aeropostale","Breguet 14",2,2,0,"",1
"129",1927-12-28,"","Abuerio, Spain","Aeropostale","Breguet 14",1,1,0,"",1
"130",1927-12-31,"","France","Latecoere Airlines","LatթcoՌre 23",4,4,0,"",1
"131",1928-01-08,"","Near Canajoharie, New York","Colonial Western Airlines","Fairchild FC-2",3,3,0,"Became lost in dense fog and flew into the ground in the Mohawk Valley while proceeding to Buffalo..",1
"132",1928-01-16,"","Solis, Uruguay","Aeropostale","Latecoere 25",2,2,0,"",1
"133",1928-01-22,"","Tarragona, Spain","Aeropostale","Breguet 14",2,2,0,"",1
"134",1928-01-22,"","France","Aeropostale","Breguet 14",2,1,0,"",0.5
"135",1928-01-27,"","Almeria, Spain","Aeropostale","Breguet 14",1,1,0,"",1
"136",1928-02-26,"","Marquette, Nebraska","Boeing Air Transport","Boeing 40",2,1,0,"The air mail plane crashed into a grove of cottonwood trees and burned. Businessman F.H. Craig was killed and pilot Frank Yegar injured. The pilot descended in altitude due to air pockets.The plane then ran into an air pocket that brought the plane down into the grove of trees.",0.5
"137",1928-03-03,"","Rio de Janeiro, Brazil","","",10,10,0,"",1
"138",1928-03-11,"","Off Cape Griz Nez, France","Air Union","Farman F-60 Goliath",2,2,0,"",1
"139",1928-04-17,"","Federal, Wyoming","Boeing Air Transport","Boeing 40",2,1,0,"",0.5
"140",1928-04-19,"","Minuesa, Spain","Iberia Airlines","Rohrbach Roland",9,9,0,"Crashed in fog.",1
"141",1928-05-07,"","","Aeropostale","Latecoere 26",1,1,0,"",1
"142",1928-05-12,"","Dearborn, Minnesota","Ford Air Freight Inc.","Ford 4",2,2,0,"",1
"143",1928-05-26,"","Radevormwald, Germany","Deutsche Lufthansa","Junkers F-13",5,3,0,"Pilot error.",0.6
"144",1928-06-14,"","Frankfurt, Germany","Deutsche Lufthansa","AEGK",5,5,0,"",1
"145",1928-06-22,"","Lebo, Kansas","National Air Transport","Douglas M-4",1,1,0,"The mail plane flew into tornado like winds and crashed to the ground.",1
"146",1928-07-10,"","Over the Gulf of Finland","Aero O-Y","Junkers F-13",6,6,0,"",1
"147",1928-07-13,"","Purley, England","Imperial Airways","Vickers 74 Vulcan",4,4,0,"Crashed to the ground shortly after taking off killing two men and two women.",1
"148",1928-07-24,"","Waalhaven harbor, Netherlands","KLM Royal Dutch Airlines","Fokker (KLM) F.III",1,1,0,"The plane crashed into the Waalhaven harbor.",1
"149",1928-08-25,"","Near Port Townsend, BC, Canada","British Columbia Airways","Ford 4-AT-B Tri Motor",7,7,0,"Crashed into Puget Sound in dense fog.  Considered the first Canadian air disaster.",1
"150",1928-09-02,"","Toul, France","CIDNA","Bleriot Spad 56",3,3,0,"",1
"151",1928-09-04,"","Adelaide Hills, Australia","Qantas","de Havilland DH.50J",2,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft crashed and caught fire.",0.5
"152",1928-09-04,"","Pocatello, Idaho","National Parks Airways","Fokker Super Universal",7,7,0,"",1
"153",1928-09-06,"","Heroldbach, Germany","Deutsche Lufthansa","Fokker FG III",3,3,0,"Engine failure.",1
"154",1928-10-04,"","Gerona, Spain","Aeropostale","Breguet 14",3,3,0,"",1
"155",1928-10-18,"","Polk, Pennsylvania","National Air Transport","Douglas M-4",1,1,0,"The mail plane crashed and burned during the night.",1
"156",1928-10-31,"","Valence, France","Air Union","Bleriot Spad 56",2,1,0,"",0.5
"157",1928-11-15,"","Off Gibraltar","Aeropostale","Latecoere 32",2,1,0,"",0.5
"158",1928-11-24,"","Edgerton, Ohio","Universal Airlines","Hamilton H-47",3,3,0,"The mail plane crashed in a heavy snow storm.",1
"159",1928-11-25,"","Bristolville, Ohio","National Air Transport","Douglas M-4",1,1,0,"The mail plane crashed in a snow storm.",1
"160",1928-11-25,"","Edgerton, Ohio","Continental Air Lines","Travel Air 4000",3,3,0,"The mail plane crashed in a heavy snow storm",1
"161",1928-12-01,"10:00","Spur, Texas","Sunbeam Air Transport Co.","Ford 4-AT-B Tri Motor",5,5,0,"The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed.",1
"162",1928-12-03,"8:00","Brazil","Syndicato Condor","Dornier Wal",14,14,0,"The seaplane took off form the bay and narrowly avoided a collision with another plane and in the process veered sharply and so abruptly that one of the wings was strained beyond its elastilimits. The pilot then lost control of the aircraft and it fell, tail spinning 300 feet into the water where one of the engines exploded on impact. It sunk immediately.",1
"163",1928-12-04,"","Rio de Janeiro, Brazil","","Junkers G24",6,6,0,"The aircraft's wingtip struck the water and crashed into Rio de Janeiro Bay.",1
"164",1928-12-11,"","Letzlingen, Germany","Deutsche Lufthansa","Junkers G-31",4,3,0,"Weather related.",0.75
"165",1928-12-20,"","Huron, Ohio","National Air Transport","Douglas M-4",1,1,0,"The mail plane crashed into an apple tree during a snow storm.",1
"166",1928-12-23,"","Chattanooga, Tennessee","Interstate Airlines","Fairchild FC-2",4,4,0,"Crashed onto a roof and garage on takeoff and burst into flames. The motor may have not been warmed- up enough.",1
"167",1928-12-31,"","Reims, France","CIDNA","Blթriot Spad 66",3,2,0,"Crashed into high ground in fog.",0.666666666666667
"168",1929-01-05,"","Stafford Springs, Connecticut","Colonial Air Transport","Fairchild FC-2",1,1,0,"",1
"169",1929-01-18,"","Cove, Oregon","Varney Air Lines","Stearman C-38",1,1,0,"While attempting to make an emergency landing on the Minam river the plane hit a bolder",1
"170",1929-01-25,"","Near Corfu, Greece","Aeroespresso","CMASA Wal",9,2,0,"",0.222222222222222
"171",1929-01-31,"","Morgantown, West Virginia","Skyline Transportation Company","Travel Air 4000",1,1,0,"",1
"172",1929-01-31,"","Off Morocco","Aeropostale","Latecoere 26",2,2,0,"",1
"173",1929-03-17,"","Newark, New Jersey","Colonial Western Airlines","Ford 5-AT-B Tri Motor",15,14,0,"The plane was making the last of a number of sightseeing flights when one of it's three engines failed. The Plane went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure.",0.933333333333333
"174",1929-03-30,"9:18","Near Beaumont, California","New Standard Airlines","Fokker F-VIIA",4,4,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.",1
"175",1929-04-21,"","San Diego, California","Maddux Airlines / Military - U.S.Army Air Force","Ford 5-AT-B Tri-Motor / B-PW-9D",6,6,0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.",1
"176",1929-05-18,"","Hungary","MALERT","Fokker F-III",2,2,0,"",1
"177",1929-05-22,"","Algiers","Aeropostale","Cams 53",5,4,0,"",0.8
"178",1929-06-10,"","Santiago de Cuba, Cuba","Pan American Airways","Fokker F-X",5,2,0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed.",0.4
"179",1929-06-14,"","Barcelona, Spain","Aeropostale","Breguet 14",2,1,0,"",0.5
"180",1929-06-17,"","Off Dungeness, England","Imperial Airways","Handley Page W-10",13,7,0,"The plane was over the English Channel when an engine failed. The pilot tried to return to the airport but the plane ditched into the English Channel. The plane was named 'City of Ottawa.'",0.538461538461538
"181",1929-06-24,"","St. Paul, Minnesota","Northwest Orient Airlines","Ford 5-AT-B Tri-Motor",8,1,0,"Crashed near Indian Mounds park shortly after taking off. Triple engine failure.",0.125
"182",1929-06-29,"","Lake Constance, Switzerland","Aero Lloyd","Domier Delphin III",5,5,0,"The aircraft crashed into lake Constance while attempting to landing.",1
"183",1929-06-29,"","Columbus, Ohio","Continental Air Lines","Travel Air 4000",1,1,0,"",1
"184",1929-08-11,"","Clovis, New Mexico","Middle States Airlines","Lockheed Vega",4,4,0,"",1
"185",1929-08-13,"","Perpignan, France","Aeropostale","Breguet 14",1,1,0,"",1
"186",1929-08-24,"","Sochi, Russia","Ukvozduchput","Kalinin K-4",1,1,0,"",1
"187",1929-08-24,"","Elm, Germany","Deutsche Lufthansa","Fokker FG II",5,4,0,"Weather related.",0.8
"188",1929-09-02,"","Needles, California","Associated Aviators","Lockheed Vega",2,1,0,"The plane crashed after going into a tail spin. The mechaniwas able to parachute to safety.",0.5
"189",1929-09-03,"1:00","Mt. Taylor, New Mexico","Trans Continental Air Transport","Ford 5-AT-B Tri Motor",8,8,0,"Crashed in a thunderstorm after being struck by lightning. The plane was named 'The City of San Francisco.'",1
"190",1929-09-06,"","Jask, Iran","Imperial Airways","de Havilland DH-66 Hercules",5,3,0,"The mail plane caught fire after crash landing.",0.6
"191",1929-09-17,"","Off Larache, Morocco","Aeropostale","Latecoere 25-3-R",5,5,0,"Crashed into the Mediterranean.",1
"192",1929-09-17,"","Jacumba, California","Pickwick Airways","Fairchild 71",2,1,0,"The mail plane crashed into a hillside in the desert while attempting to make an emergency landing during a storm.",0.5
"193",1929-09-17,"","Mt Lamentation, Connecticut","Colonial Air Transport","Pitcairn PA-6 Mailwing",1,1,0,"The mail plane crashed into Mt. Lamentation and burst into flames.",1
"194",1929-10-26,"","Off Spezia, Italy","Imperial Airways","Short Calcutta",7,7,0,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named 'City of Rome.'",1
"195",1929-10-29,"","Mount Vernon, Ohio","Continental Air Lines","Stearman C-38",1,1,0,"The mail plane crashed into a grove of trees 8 miles southwest of Mount Vernon.",1
"196",1929-10-31,"","Off Bremerton, Washington","Bremerton-Seattle Air Taxi / Gorst Air Lines","Loening C-2C",2,2,0,"The air taxi crashed into Puget Sound as it attempted to take off.",1
"197",1929-11-04,"7:00","Cerro del Carbon, Mexico","Corp. Aeronautica de Transportes","Lockheed Vega 5",4,4,0,"The mail plane crashed in dense fog.",1
"198",1929-11-06,"","Near Godstone, Surrey, England","Deutsche Lufthansa","Junkers G-24",8,7,0,"Crashed in heavy rain and fog while attempting to land.",0.875
"199",1929-11-15,"","Off Corsica, France","Air Union","Liore et Olivier 190",3,3,0,"Crashed into the Mediterranean in fog.",1
"200",1929-11-30,"","Vancouver, Washington","Varney Air Lines","Stearman M-2 Speedmail",1,1,0,"The mail plane crashed into a fog bound tower of the interstate bridge spanning the Columbia River.",1
"201",1929-12-02,"","Chagrin Falls, Ohio","National Air Transport","Douglas M-3",1,1,0,"The mail plane crashed en route during a storm.",1
"202",1929-12-14,"","Mediterranean Sea","Aeropostale","Bernard 192",3,3,0,"",1
"203",1929-12-19,"","Near Berlin, Germany","Deutsche Lufthansa","Arado V1",3,2,0,"Forced landing 40 miles from Berlin.",0.666666666666667
"204",1929-12-30,"","Amarillo, Texas","Trans Continental Air Transport","Travel Air B6000",5,5,0,"Crashed on approach onto a golf course.",1
"205",1930-01-10,"","Brawnson, Nebraska","Boeing Air Transport","Boeing 95",1,1,0,"The airmail plane crash landed and burst into flames on a farm in fog and snow while attempting to make an emergency landing.",1
